Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
MORMACO,0,0,0,8,0,0,1,2,1,0,0,0
MORRINHOS DO SUL,0,0,0,2,0,1,0,0,0,0,0,0
MORRO REDONDO,0,0,0,12,2,4,3,0,1,2,1,0
MORRO REUTER,1,1,0,12,0,0,1,0,1,1,4,2
MOSTARDAS,2,2,0,115,30,2,7,0,7,12,3,9
MUCUM,1,1,0,10,1,1,0,1,3,3,1,0
MUITOS CAPOES,0,0,0,18,6,0,3,0,2,0,0,0
MULITERNO,0,0,0,4,2,0,0,0,2,0,1,0
NAO-ME-TOQUE,0,0,0,60,1,6,16,3,20,2,7,5
NICOLAU VERGUEIRO,0,0,0,5,0,1,1,1,0,2,0,0
NONOAI,0,0,0,74,5,4,5,2,7,3,5,1
NOVA ALVORADA,0,0,0,10,4,1,5,0,3,3,0,0
NOVA ARACA,0,0,0,15,0,0,3,1,3,0,2,0
NOVA BASSANO,0,0,0,17,0,2,7,1,9,1,2,1
NOVA BOA VISTA,0,0,0,5,2,0,0,0,0,0,0,0
NOVA BRESCIA,1,1,0,11,0,1,0,0,0,1,0,0
NOVA CANDELARIA,0,0,0,12,1,1,0,0,0,1,0,0
NOVA ESPERANCA DO SUL,0,0,0,10,1,0,1,0,3,0,1,0
NOVA HARTZ,2,2,0,57,2,7,16,4,17,3,11,5
NOVA PADUA,0,0,0,8,1,2,0,0,0,0,0,0
NOVA PALMA,0,0,0,41,12,2,1,0,5,4,0,0
NOVA PETROPOLIS,1,1,0,68,1,0,6,0,13,3,24,7
NOVA PRATA,3,3,0,93,6,10,4,1,24,1,24,19
NOVA RAMADA,0,0,0,19,0,2,0,0,0,2,0,0
NOVA ROMA DO SUL,0,0,0,5,0,0,0,0,1,0,1,0
NOVA SANTA RITA,4,4,0,152,6,27,34,13,16,6,18,12
NOVO BARREIRO,0,0,0,22,2,2,3,0,2,0,0,1
NOVO CABRAIS,0,0,0,20,2,0,3,0,1,1,3,1
NOVO HAMBURGO,16,18,2,1362,9,268,1104,517,332,66,43,135
NOVO MACHADO,0,0,0,8,2,3,0,0,0,1,0,0
NOVO TIRADENTES,0,0,0,6,2,2,1,0,0,0,1,0
NOVO XINGU,0,0,0,5,0,0,0,0,1,0,1,0
NÃO INFORMADO,0,0,0,247,0,6,64,3,274,0,1,0
OSORIO,7,7,0,463,24,37,67,9,51,15,37,78
PAIM FILHO,0,0,0,15,0,1,2,0,1,1,0,1
PALMARES DO SUL,1,1,0,137,23,5,13,2,5,1,8,8
PALMEIRA DAS MISSOES,2,2,0,210,19,17,22,4,27,17,12,5
PALMITINHO,0,0,0,18,0,1,1,0,2,0,3,1
PANAMBI,1,1,0,325,8,7,19,0,26,8,1,13
PANTANO GRANDE,0,0,0,72,18,0,5,0,3,4,7,3
PARAI,0,0,0,26,1,5,6,0,5,2,2,0
PARAISO DO SUL,0,0,0,27,0,0,2,0,0,0,2,0
PARECI NOVO,0,0,0,10,0,0,2,0,1,2,1,0
PAROBE,4,6,1,224,6,26,87,29,41,6,7,15
PASSA SETE,1,1,0,16,3,0,3,0,0,0,0,0
PASSO DO SOBRADO,0,0,0,29,9,2,3,3,3,0,1,0
PASSO FUNDO,10,11,1,860,15,214,476,64,176,87,99,96
PAULO BENTO,0,0,0,10,1,0,0,0,0,0,0,0
PAVERAMA,0,0,0,32,4,2,1,2,1,2,2,1
PEDRAS ALTAS,0,0,0,14,5,2,4,0,0,0,0,0
PEDRO OSORIO,0,0,0,88,6,5,8,1,4,2,0,0
PEJUCARA,0,0,0,15,3,1,3,0,1,0,0,1
PELOTAS,49,51,2,1753,36,257,1881,86,306,162,108,183
PICADA CAFE,0,0,0,19,1,1,2,0,1,0,2,1
PINHAL,0,0,0,16,1,2,6,0,2,1,2,0
PINHAL DA SERRA,0,0,0,13,2,0,0,0,0,1,0,1
PINHAL GRANDE,0,0,0,14,5,0,1,0,1,1,0,0
PINHEIRINHO DO VALE,0,0,0,6,1,0,0,0,0,2,0,0
PINHEIRO MACHADO,2,2,0,53,15,4,4,0,3,3,9,4
PINTO BANDEIRA,0,0,0,9,2,0,0,0,0,0,1,0
PIRAPO,0,0,0,9,2,0,0,0,0,2,0,0
PIRATINI,0,0,0,111,14,2,6,0,5,4,11,7
PLANALTO,0,0,0,35,2,1,2,0,0,2,0,0
POCO DAS ANTAS,0,0,0,5,0,1,0,0,0,1,0,0
PONTAO,0,0,0,6,2,0,0,0,1,1,0,0
PONTE PRETA,0,0,0,4,0,0,0,0,0,1,0,0
PORTAO,3,3,0,173,9,14,73,20,29,6,7,5
PORTO ALEGRE,269,315,7,12841,21,1521,14952,4623,2397,460,397,1067
PORTO LUCENA,0,0,0,19,1,0,1,0,2,1,1,2
PORTO MAUA,0,0,0,8,1,0,1,0,1,1,1,0
PORTO VERA CRUZ,0,0,0,13,1,0,0,0,0,3,0,0
PORTO XAVIER,0,0,0,28,6,1,5,0,3,9,3,0
POUSO NOVO,0,0,0,17,1,0,2,0,1,0,0,0
PRESIDENTE LUCENA,0,0,0,1,0,2,0,0,0,0,2,0
PROGRESSO,0,0,0,33,3,1,3,0,4,1,5,2
PROTASIO ALVES,0,0,0,6,0,0,0,0,0,1,0,0
PUTINGA,0,0,0,9,2,0,0,0,1,2,0,0
QUARAI,1,1,0,207,35,16,14,1,9,8,2,1
QUATRO IRMAOS,0,0,0,2,0,1,1,0,0,3,0,0
QUEVEDOS,0,0,0,9,2,1,0,0,0,3,0,0
QUINZE DE NOVEMBRO,0,0,0,18,3,0,1,0,2,0,0,0
REDENTORA,1,1,1,38,1,6,1,3,0,1,0,0
RELVADO,0,0,0,8,0,1,0,0,0,0,0,0
RESTINGA SECA,1,1,0,91,11,1,1,0,7,3,10,1
RIO DOS INDIOS,0,0,0,14,3,0,4,0,0,0,0,0
RIO GRANDE,29,29,2,1807,49,104,1205,34,109,109,110,157
RIO PARDO,3,3,0,195,24,20,28,0,18,16,29,9
RIOZINHO,0,0,0,14,2,0,0,0,1,0,3,1
ROCA SALES,2,2,0,44,2,2,10,3,3,3,1,4
RODEIO BONITO,0,0,0,16,3,2,2,0,3,2,4,0
ROLADOR,0,0,0,2,2,0,1,0,1,2,0,0
ROLANTE,0,0,0,74,2,3,9,3,8,3,17,4
RONDA ALTA,0,0,0,28,3,3,5,0,4,1,2,1
RONDINHA,0,0,0,12,4,2,2,0,2,0,0,0
ROQUE GONZALES,1,1,0,17,2,1,0,0,3,2,3,1
ROSARIO DO SUL,2,2,0,270,35,6,25,0,23,7,37,18
SAGRADA FAMILIA,0,0,0,2,1,0,0,0,0,0,0,0
SALDANHA MARINHO,0,0,0,6,2,0,0,0,0,0,0,0
SALTO DO JACUI,4,6,0,112,1,2,7,1,6,6,1,4
SALVADOR DAS MISSOES,0,0,0,3,0,0,0,0,0,0,0,0
SALVADOR DO SUL,0,0,0,15,0,3,0,0,0,1,1,1
SANANDUVA,0,0,0,42,4,3,1,1,12,10,7,7
SANTA BARBARA DO SUL,1,1,0,41,2,1,4,1,10,1,0,1
SANTA CECILIA DO SUL,0,0,0,5,0,0,0,0,0,1,0,0
SANTA CLARA DO SUL,1,1,0,22,0,5,5,0,2,1,1,1
SANTA CRUZ DO SUL,7,7,0,964,6,241,170,19,75,39,32,68
SANTA MARGARIDA DO SUL,0,0,0,7,1,0,0,0,1,1,0,0
SANTA MARIA,16,18,0,1712,51,97,617,9,303,97,198,145
SANTA MARIA DO HERVAL,0,0,0,15,0,0,0,0,2,0,0,0
SANTA ROSA,2,2,0,414,10,33,23,2,37,26,98,53
SANTA TEREZA,0,0,0,5,0,0,1,0,0,2,1,0
SANTA VITORIA DO PALMAR,3,3,1,378,54,18,51,1,24,11,8,3
SANTANA DA BOA VISTA,1,1,0,42,3,0,1,0,1,5,6,2
SANTANA DO LIVRAMENTO,3,3,0,512,103,47,89,3,61,15,103,22
SANTIAGO,1,1,0,283,13,7,20,0,29,8,85,31
SANTO ANGELO,4,5,0,698,20,52,85,1,40,23,73,36
SANTO ANTONIO DA PATRULHA,5,6,0,203,14,15,40,6,28,8,24,22
SANTO ANTONIO DAS MISSOES,0,0,0,77,27,1,1,0,3,4,2,3
SANTO ANTONIO DO PALMA,0,0,0,6,0,2,0,2,0,0,0,0
SANTO ANTONIO DO PLANALTO,0,0,0,6,0,0,2,0,1,2,0,0
SANTO AUGUSTO,1,1,0,57,3,12,11,1,3,2,2,11
SANTO CRISTO,0,0,0,34,0,3,1,0,3,0,5,2
SANTO EXPEDITO DO SUL,0,0,0,9,1,0,1,0,0,0,0,0
SAO BORJA,3,3,0,464,41,23,59,2,34,20,21,12
SAO DOMINGOS DO SUL,0,0,0,13,5,1,1,0,2,1,1,0
SAO FRANCISCO DE ASSIS,1,1,0,124,33,0,8,0,8,8,24,7
SAO FRANCISCO DE PAULA,3,3,1,139,28,10,15,7,14,14,15,12
SAO GABRIEL,4,6,0,478,51,11,44,2,34,21,45,49
