Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte,Total de Vitimas de CVLI
SAO LEOPOLDO,6,6,0,1096,3,133,366,84,568,32,68,112,0,0,6
SAO LOURENCO DO SUL,0,0,0,72,3,4,7,0,49,4,69,26,0,0,0
SAO LUIZ GONZAGA,2,2,0,126,7,9,10,0,52,12,38,22,0,0,2
SAO MARCOS,1,1,0,38,1,3,4,1,67,9,2,7,0,0,1
SAO MARTINHO,0,0,0,11,1,0,0,0,15,0,0,0,0,0,0
SAO MARTINHO DA SERRA,1,1,0,21,6,0,0,0,2,0,0,0,0,0,1
SAO MIGUEL DAS MISSOES,0,0,0,18,2,0,1,0,7,3,0,0,0,0,0
SAO NICOLAU,0,0,0,20,5,0,0,0,3,5,1,1,0,0,0
SAO PAULO DAS MISSOES,0,0,0,9,1,0,0,0,7,1,0,0,0,0,0
SAO PEDRO DA SERRA,0,0,0,3,0,1,0,0,8,0,1,1,0,0,0
SAO PEDRO DAS MISSOES,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0
SAO PEDRO DO BUTIA,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
SAO PEDRO DO SUL,1,1,0,58,18,3,3,0,29,6,5,6,0,0,1
SAO SEBASTIAO DO CAI,0,0,1,66,2,3,11,3,67,5,98,18,1,0,1
SAO SEPE,1,1,0,84,12,1,8,1,14,6,7,2,0,0,2
SAO VALENTIM,0,0,0,4,1,0,0,0,3,0,2,0,0,0,0
SAO VALENTIM DO SUL,0,0,0,6,0,0,1,0,4,0,0,0,0,0,0
SAO VALERIO DO SUL,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
SAO VENDELINO,0,0,0,8,0,0,0,2,4,1,0,0,0,0,0
SAO VICENTE DO SUL,0,0,0,42,6,1,4,0,5,4,3,2,0,0,0
SAPIRANGA,1,1,0,246,0,18,36,5,153,9,37,27,0,0,1
SAPUCAIA DO SUL,5,5,0,501,4,52,229,53,270,16,64,55,0,0,5
SARANDI,1,2,0,61,4,2,6,0,47,7,17,13,0,0,3
SEBERI,1,1,0,33,3,1,1,0,16,7,4,7,0,0,1
SEDE NOVA,0,0,0,3,0,0,0,0,7,1,0,0,0,0,0
SEGREDO,0,0,0,13,2,1,0,0,5,0,0,0,0,0,0
SELBACH,0,0,0,6,0,0,0,0,6,1,1,0,0,0,0
SENADOR SALGADO FILHO,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
SENTINELA DO SUL,0,0,0,15,2,1,1,0,6,3,1,0,0,0,0
SERAFINA CORREA,1,1,0,24,0,3,1,0,40,5,21,5,0,0,2
SERIO,0,0,0,3,0,0,0,1,1,0,0,2,0,0,0
SERTAO,0,0,0,10,0,0,0,0,5,1,0,0,0,0,0
SERTAO SANTANA,0,0,0,15,3,3,0,0,10,1,0,0,0,0,1
SETE DE SETEMBRO,0,0,0,4,3,0,1,0,0,2,0,0,0,0,0
SEVERIANO DE ALMEIDA,0,0,0,1,0,0,0,0,3,2,3,0,0,0,0
SILVEIRA MARTINS,0,0,0,5,1,0,0,0,0,1,1,1,0,0,0
SINIMBU,0,0,0,17,1,0,3,0,5,0,0,0,0,0,0
SOBRADINHO,1,1,0,72,4,3,9,0,29,5,15,16,0,0,1
SOLEDADE,4,5,0,173,13,4,10,0,38,13,18,18,0,0,5
TABAI,0,0,0,17,1,1,0,0,7,0,1,0,0,0,0
TAPEJARA,1,1,0,81,0,9,5,0,42,2,21,4,0,0,1
TAPERA,0,0,0,22,2,2,0,0,14,0,2,3,0,0,0
TAPES,2,2,0,45,2,7,4,0,22,6,9,11,0,0,2
TAQUARA,3,3,0,162,8,13,21,7,59,11,40,25,0,0,3
TAQUARI,2,2,0,72,10,3,9,0,30,3,14,11,0,0,2
TAQUARUCU DO SUL,0,0,0,3,0,0,0,1,4,2,0,0,0,0,0
TAVARES,2,2,0,18,6,1,0,0,9,1,8,10,0,0,2
TENENTE PORTELA,1,1,0,53,5,4,5,0,16,8,6,4,0,0,1
TERRA DE AREIA,2,3,0,44,7,2,2,1,25,3,8,6,0,0,3
TEUTONIA,0,0,0,44,0,2,3,0,104,1,58,9,0,0,0
