Municipio,Homicidio Doloso,Homicidio Doloso de Transito,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Extorsao,Extorsao Mediante Sequestro,Estelionato,Delitos Relacionados a Corrupcao,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
PLANALTO,0,0,113,6,9,0,2,0,0,5,0,15,5,0
POCO DAS ANTAS,0,0,17,0,3,0,0,0,0,0,0,0,0,0
PONTAO,2,0,46,4,7,0,3,0,0,1,0,4,0,0
PONTE PRETA,0,0,3,0,1,0,0,0,0,0,1,1,0,0
PORTAO,8,0,378,54,122,2,59,2,0,52,1,25,32,16
PORTO ALEGRE,705,1,29611,3653,34825,40,8129,81,3,3980,62,1017,706,2062
PORTO LUCENA,0,0,39,1,0,0,0,0,0,6,0,7,1,1
PORTO MAUA,0,0,19,1,2,0,0,0,0,2,0,4,2,0
PORTO VERA CRUZ,0,0,20,1,1,0,1,0,0,1,0,6,0,0
PORTO XAVIER,0,0,135,7,12,0,0,1,0,3,1,15,14,5
POUSO NOVO,0,0,19,2,1,0,1,0,0,2,0,0,0,0
PRESIDENTE LUCENA,0,0,20,1,1,0,0,0,0,0,0,3,1,0
PROGRESSO,1,0,32,2,1,0,0,0,0,5,0,10,4,1
PROTASIO ALVES,0,0,16,0,1,0,0,0,0,2,0,4,0,0
PUTINGA,1,0,20,0,2,0,0,0,0,2,0,3,0,0
QUARAI,2,0,342,28,26,0,0,1,0,15,1,12,9,12
QUATRO IRMAOS,0,0,24,0,0,0,0,0,0,0,0,4,0,0
QUEVEDOS,0,0,18,0,0,0,0,0,0,0,0,1,0,0
QUINZE DE NOVEMBRO,0,0,32,2,0,0,0,0,0,2,0,0,0,0
REDENTORA,1,0,81,12,8,0,1,0,0,2,0,8,1,1
RELVADO,0,0,17,0,0,0,0,0,0,0,0,0,0,0
RESTINGA SECA,1,0,241,17,3,0,1,0,0,10,0,3,13,6
RIO DOS INDIOS,1,0,24,2,6,0,0,0,0,1,0,2,0,0
RIO GRANDE,35,1,3062,288,2580,2,69,10,1,253,3,178,216,144
RIO PARDO,6,0,577,41,83,0,7,0,0,27,1,15,33,10
RIOZINHO,0,0,46,1,1,0,2,0,0,1,0,1,1,0
ROCA SALES,2,0,140,10,17,0,3,0,0,5,0,1,4,3
RODEIO BONITO,0,0,54,9,2,0,0,1,0,2,0,3,6,0
ROLADOR,0,0,18,0,2,0,0,0,0,0,0,2,0,0
ROLANTE,3,0,183,11,31,0,8,1,0,11,0,8,53,7
RONDA ALTA,0,0,85,8,11,0,3,0,0,5,0,6,4,3
RONDINHA,1,0,37,5,8,0,0,0,0,3,0,2,0,0
ROQUE GONZALES,0,0,70,3,1,0,0,0,0,2,0,2,5,1
ROSARIO DO SUL,6,0,529,26,42,0,0,0,0,28,2,32,85,26
SAGRADA FAMILIA,1,0,22,1,4,0,0,0,0,1,0,0,0,0
SALDANHA MARINHO,0,0,22,0,1,0,0,0,0,2,0,0,0,0
SALTO DO JACUI,4,0,192,11,17,0,1,3,0,31,1,16,1,5
SALVADOR DAS MISSOES,0,0,26,1,0,0,0,0,0,3,0,2,0,0
SALVADOR DO SUL,0,0,53,4,5,0,3,0,0,1,0,2,0,0
SANANDUVA,0,0,139,6,9,0,2,1,0,8,0,13,5,5
SANTA BARBARA DO SUL,1,0,98,5,9,0,1,0,0,18,0,7,3,0
SANTA CECILIA DO SUL,0,0,9,2,1,0,0,0,0,1,0,2,0,0
SANTA CLARA DO SUL,0,0,44,3,1,0,0,0,0,4,0,1,1,1
SANTA CRUZ DO SUL,41,0,2302,547,460,3,62,14,0,211,12,91,77,97
SANTA MARGARIDA DO SUL,0,0,30,2,1,1,1,0,0,1,0,1,0,0
SANTA MARIA,58,3,4149,325,1976,6,53,8,0,670,15,225,397,202
SANTA MARIA DO HERVAL,0,0,29,5,1,0,0,1,0,2,0,1,2,1
SANTA ROSA,4,0,899,50,81,1,4,9,0,79,3,61,201,60
SANTA TEREZA,1,0,17,1,3,0,1,0,0,0,0,1,0,0
SANTA VITORIA DO PALMAR,6,0,858,43,95,0,3,3,0,37,1,11,14,8
SANTANA DA BOA VISTA,1,0,107,5,7,0,0,0,0,2,0,2,4,1
SANTANA DO LIVRAMENTO,6,0,1236,105,165,0,6,0,0,124,3,63,101,32
SANTIAGO,1,2,852,26,65,2,0,2,0,93,0,35,135,130
SANTO ANGELO,15,0,1669,110,257,0,11,0,0,86,58,63,108,27
SANTO ANTONIO DA PATRULHA,9,0,471,49,109,0,24,2,0,46,1,11,40,24
SANTO ANTONIO DAS MISSOES,2,0,136,2,6,0,1,0,0,3,0,15,9,3
SANTO ANTONIO DO PALMA,0,0,20,5,4,0,0,0,0,1,0,1,0,0
SANTO ANTONIO DO PLANALTO,0,0,10,1,5,0,3,0,0,0,0,0,0,0
SANTO AUGUSTO,4,0,244,22,22,0,0,1,0,4,0,20,16,3
SANTO CRISTO,1,0,63,4,3,0,0,0,0,8,0,6,14,2
SANTO EXPEDITO DO SUL,0,0,16,0,1,0,0,0,0,0,0,3,0,0
SAO BORJA,12,0,894,38,173,0,4,1,0,83,3,32,92,78
SAO DOMINGOS DO SUL,0,0,23,7,2,0,2,0,0,6,0,2,0,1
SAO FRANCISCO DE ASSIS,2,0,283,6,7,0,0,0,0,15,0,26,17,4
