Municipio,Homicidio Doloso,Total de vitimas de Homicidio Doloso,Latrocinio,Furtos,Abigeato,Furto de Veiculo,Roubos,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico,Vitimas de Latrocinio,Vitimas de Lesao Corp. Seg. Morte
SAO JOAO DA URTIGA,0,0,0,10,3,1,1,0,15,4,0,0,0,0
SAO JOAO DO POLESINE,1,1,0,27,2,1,0,0,19,2,1,0,0,0
SAO JORGE,0,0,0,9,2,1,1,0,9,1,2,0,0,0
SAO JOSE DAS MISSOES,0,0,0,7,3,0,0,0,3,0,0,1,0,0
SAO JOSE DO HERVAL,1,1,0,13,5,0,2,0,5,2,1,1,0,0
SAO JOSE DO HORTENCIO,0,0,0,27,2,4,1,1,27,2,5,0,0,0
SAO JOSE DO INHACORA,1,2,0,1,0,0,0,0,9,1,1,1,0,0
SAO JOSE DO NORTE,3,3,1,293,24,7,10,0,40,7,46,22,1,0
SAO JOSE DO OURO,0,0,0,34,5,0,1,0,47,2,2,4,0,0
SAO JOSE DO SUL,0,0,0,13,1,0,0,1,9,0,1,2,0,0
SAO JOSE DOS AUSENTES,2,2,0,34,7,2,0,0,17,4,2,4,0,0
SAO LEOPOLDO,30,31,0,3671,9,354,1249,234,2109,100,167,563,0,1
SAO LOURENCO DO SUL,1,1,0,297,29,5,32,0,209,18,200,58,0,0
SAO LUIZ GONZAGA,3,3,1,302,25,16,16,1,74,54,111,114,1,0
SAO MARCOS,2,2,0,92,4,10,14,3,170,13,24,29,0,0
SAO MARTINHO,0,0,0,19,0,0,0,0,31,2,5,0,0,0
SAO MARTINHO DA SERRA,0,0,0,83,39,1,0,0,18,0,0,1,0,0
SAO MIGUEL DAS MISSOES,0,0,0,47,16,1,0,0,22,11,6,1,0,0
SAO NICOLAU,2,2,0,54,32,0,1,0,5,13,2,1,0,0
SAO PAULO DAS MISSOES,0,0,0,16,4,2,0,0,33,3,1,0,0,0
SAO PEDRO DA SERRA,0,0,0,15,1,0,1,0,14,1,11,1,0,0
SAO PEDRO DAS MISSOES,0,0,0,15,4,1,0,0,10,2,0,0,0,0
SAO PEDRO DO BUTIA,0,0,0,3,0,0,2,0,18,0,0,0,0,0
SAO PEDRO DO SUL,0,0,0,245,83,5,7,0,94,13,14,9,0,0
SAO SEBASTIAO DO CAI,1,2,0,267,11,20,15,6,223,9,164,47,0,0
SAO SEPE,3,3,0,208,47,5,17,2,91,12,15,39,0,0
SAO VALENTIM,1,1,0,7,0,2,0,0,13,0,3,0,0,0
SAO VALENTIM DO SUL,0,0,0,23,2,0,0,0,8,0,2,0,0,0
SAO VALERIO DO SUL,0,0,0,3,1,1,0,0,2,3,0,0,0,0
SAO VENDELINO,0,0,0,11,0,1,0,1,21,0,2,1,0,0
SAO VICENTE DO SUL,1,1,0,64,24,3,2,0,27,4,11,3,0,0
SAPIRANGA,2,2,0,745,10,86,141,16,524,27,136,103,0,0
SAPUCAIA DO SUL,18,19,1,1433,5,144,677,120,910,37,267,227,1,0
SARANDI,4,4,0,219,4,12,30,1,106,12,34,49,0,0
SEBERI,0,0,0,77,1,7,2,0,58,18,7,7,0,0
SEDE NOVA,0,0,0,10,0,1,0,0,8,1,1,0,0,0
SEGREDO,0,0,0,49,17,4,2,0,22,3,2,4,0,0
SELBACH,1,1,0,26,1,1,4,2,27,5,10,5,0,0
SENADOR SALGADO FILHO,0,0,0,9,2,1,0,0,6,0,1,0,0,0
SENTINELA DO SUL,2,4,0,62,12,3,7,1,16,8,4,3,0,0
SERAFINA CORREA,2,2,0,58,1,2,1,0,84,0,44,11,0,0
SERIO,0,0,0,10,1,0,2,0,2,3,0,0,0,0
SERTAO,0,0,0,26,3,2,0,0,23,3,4,1,0,0
SERTAO SANTANA,0,0,0,39,4,0,4,0,52,10,7,2,0,0
SETE DE SETEMBRO,0,0,0,22,12,0,1,0,0,0,0,2,0,0
SEVERIANO DE ALMEIDA,0,0,0,13,1,0,1,0,10,4,4,0,0,0
SILVEIRA MARTINS,0,0,0,13,1,0,2,0,14,4,3,2,0,0
SINIMBU,0,0,0,59,6,2,7,0,37,4,2,1,0,0
SOBRADINHO,2,2,0,185,12,10,16,1,72,8,22,44,0,0
SOLEDADE,11,12,0,511,87,11,26,1,140,40,89,65,0,0
TABAI,1,1,0,24,2,3,3,2,14,1,1,2,0,0
TAPEJARA,4,4,0,214,3,12,10,1,187,14,92,23,0,0
TAPERA,0,0,0,43,1,1,6,2,45,3,24,13,0,0
TAPES,10,12,0,199,11,7,14,3,75,9,25,25,0,0
TAQUARA,11,11,0,551,32,53,73,15,386,23,70,70,0,0
TAQUARI,2,2,0,254,17,3,13,2,85,14,27,11,0,0
TAQUARUCU DO SUL,0,0,0,18,3,0,0,0,14,1,0,1,0,0
TAVARES,3,4,0,52,9,2,3,0,30,2,6,12,0,0
TENENTE PORTELA,5,5,0,133,12,17,7,1,30,19,13,7,0,0
TERRA DE AREIA,1,1,0,128,19,3,3,2,77,6,16,31,0,0
TEUTONIA,2,2,0,132,1,9,16,0,290,7,104,35,0,0
TIO HUGO,0,0,0,19,3,1,6,1,15,2,1,3,0,0
TIRADENTES DO SUL,0,0,0,19,4,7,2,1,15,5,2,3,0,0
TOROPI,0,0,0,15,5,0,0,0,5,1,0,0,0,0
TORRES,9,9,0,513,10,55,66,9,583,13,105,85,0,1
TRAMANDAI,13,13,1,1077,14,71,193,29,617,30,72,174,1,0
TRAVESSEIRO,0,0,0,5,0,0,0,0,4,1,0,0,0,0
TRES ARROIOS,0,0,0,13,0,0,0,0,13,0,0,0,0,0
TRES CACHOEIRAS,0,0,1,87,7,17,8,1,77,0,15,1,1,0
TRES COROAS,1,1,1,253,7,5,8,4,118,13,46,20,1,0
TRES DE MAIO,1,2,0,133,3,16,9,1,117,10,46,28,0,0
TRES FORQUILHAS,0,0,1,14,4,0,2,0,9,2,0,2,1,0
TRES PALMEIRAS,0,0,0,24,3,0,1,1,9,2,9,1,0,0
TRES PASSOS,3,3,0,142,4,15,8,1,123,17,44,67,0,0
TRINDADE DO SUL,4,4,0,62,10,3,2,1,25,11,28,23,0,0
TRIUNFO,1,1,0,218,5,11,20,7,145,18,36,53,0,0
TUCUNDUVA,1,1,1,36,1,1,2,0,22,2,2,4,1,0
TUNAS,2,4,0,14,6,1,0,0,6,3,0,0,0,0
TUPANCI DO SUL,0,0,0,9,7,1,0,0,4,0,0,0,0,0
TUPANCIRETA,1,1,0,196,12,0,17,0,92,9,28,10,0,0
TUPANDI,0,0,0,9,1,0,0,0,22,4,9,0,0,0
TUPARENDI,1,2,0,33,3,1,2,0,46,2,3,2,0,0
TURUCU,0,0,0,20,2,0,1,0,7,1,1,3,0,0
UBIRETAMA,0,0,0,3,1,0,0,0,1,2,0,0,0,0
UNIAO DA SERRA,0,0,0,8,1,0,0,0,5,2,0,0,0,0
UNISTALDA,0,0,0,19,11,0,0,0,10,0,0,0,0,0
URUGUAIANA,25,25,1,1396,75,33,314,8,726,71,355,295,1,3
VACARIA,13,13,0,931,41,48,139,12,411,69,336,108,0,1
VALE DO SOL,2,2,0,52,6,3,5,3,38,3,0,2,0,0
VALE REAL,0,0,0,13,0,2,3,0,28,1,3,0,0,0
