Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
NOVO CABRAIS,0,27,2,0,0,0,1,3,0,0
NOVO HAMBURGO,56,2905,648,1624,3,554,706,139,291,268
NOVO MACHADO,0,8,0,1,0,0,3,2,1,0
NOVO TIRADENTES,0,7,0,0,0,0,0,0,0,0
NOVO XINGU,0,5,0,0,0,0,0,0,0,0
OSORIO,6,752,44,109,0,5,120,14,92,107
PAIM FILHO,0,32,1,1,0,1,6,1,0,0
PALMARES DO SUL,3,190,6,24,0,7,12,5,11,13
PALMEIRA DAS MISSOES,3,287,28,24,1,2,56,23,29,15
PALMITINHO,1,30,4,1,0,0,4,4,5,3
PANAMBI,0,354,26,30,2,4,88,11,26,30
PANTANO GRANDE,0,110,2,13,0,3,9,6,11,2
PARAI,1,45,2,4,0,2,10,0,1,0
PARAISO DO SUL,0,37,0,1,0,0,1,0,0,1
PARECI NOVO,0,21,0,1,0,0,7,1,1,1
PAROBE,5,366,66,139,0,35,90,20,33,23
PASSA SETE,1,59,2,2,0,1,4,2,0,1
PASSO DO SOBRADO,0,72,5,4,0,2,5,5,0,0
PASSO FUNDO,27,1829,399,770,3,130,453,181,207,149
PAULO BENTO,0,13,0,1,0,0,0,2,0,0
PAVERAMA,1,49,3,5,1,2,7,8,4,4
PEDRAS ALTAS,0,43,0,1,0,0,1,2,0,0
PEDRO OSORIO,0,128,4,18,0,0,12,1,3,3
PEJUCARA,0,37,2,2,0,1,6,1,0,0
PELOTAS,43,3290,421,2180,4,155,726,200,230,285
PICADA CAFE,1,22,0,4,0,2,4,0,10,0
PINHAL,1,25,4,6,0,0,7,2,0,0
PINHAL DA SERRA,0,18,2,0,0,0,3,4,0,0
PINHAL GRANDE,0,21,1,2,0,0,6,1,0,0
PINHEIRINHO DO VALE,0,14,0,0,0,0,2,3,3,1
PINHEIRO MACHADO,1,130,1,10,0,0,14,8,12,8
PINTO BANDEIRA,0,5,0,1,0,2,3,0,1,0
PIRAPO,0,26,0,0,1,0,0,3,0,0
PIRATINI,1,178,13,17,0,2,21,13,6,5
PLANALTO,0,81,6,9,0,0,5,7,4,1
POCO DAS ANTAS,0,9,0,0,0,0,3,0,1,0
PONTAO,0,26,2,3,0,0,3,4,0,0
PONTE PRETA,1,7,1,0,0,0,0,0,0,0
PORTAO,5,305,48,96,0,32,66,11,56,25
PORTO ALEGRE,374,24368,2508,18839,12,5071,6050,750,780,2285
PORTO LUCENA,1,28,0,0,0,0,1,3,1,0
PORTO MAUA,0,30,2,1,0,0,0,4,0,0
PORTO VERA CRUZ,0,13,0,1,0,1,1,4,1,0
PORTO XAVIER,1,102,4,7,0,0,6,10,7,4
POUSO NOVO,0,12,3,2,0,0,0,1,0,0
PRESIDENTE LUCENA,0,8,1,0,0,1,1,0,1,0
PROGRESSO,0,21,2,1,0,0,2,7,1,0
PROTASIO ALVES,0,8,1,0,0,0,0,1,0,0
PUTINGA,0,57,2,1,0,1,8,3,0,0
QUARAI,5,289,27,15,0,0,28,13,11,10
QUATRO IRMAOS,0,5,1,0,0,0,1,0,0,0
QUEVEDOS,0,19,0,0,0,0,1,2,0,0
QUINZE DE NOVEMBRO,0,19,0,2,0,1,3,1,0,1
REDENTORA,1,45,3,5,0,0,3,3,1,2
RELVADO,0,14,0,0,0,0,1,1,0,0
RESTINGA SECA,1,132,4,10,1,2,18,7,13,7
RIO DOS INDIOS,0,20,0,1,0,1,1,0,0,0
RIO GRANDE,35,2595,210,1609,1,37,445,120,168,245
RIO PARDO,2,461,9,42,0,0,50,19,49,26
RIOZINHO,0,37,3,2,0,1,2,2,1,1
ROCA SALES,1,113,7,13,0,0,4,3,9,5
RODEIO BONITO,0,37,6,1,0,0,6,6,10,3
ROLADOR,0,15,0,1,0,0,2,3,1,2
ROLANTE,2,139,5,17,0,1,36,10,36,6
RONDA ALTA,0,50,6,10,0,0,11,1,2,1
RONDINHA,1,26,0,0,0,0,2,2,0,0
ROQUE GONZALES,0,42,2,1,0,0,5,6,6,4
ROSARIO DO SUL,5,437,10,33,0,0,55,31,63,37
SAGRADA FAMILIA,0,9,2,0,0,1,3,2,0,0
SALDANHA MARINHO,0,19,0,3,0,4,2,3,1,0
SALTO DO JACUI,0,157,8,11,0,0,16,5,3,4
SALVADOR DAS MISSOES,0,14,0,0,0,0,0,0,0,0
SALVADOR DO SUL,0,32,5,3,0,0,10,1,3,0
SANANDUVA,0,82,10,11,0,0,16,7,3,9
SANTA BARBARA DO SUL,0,56,7,7,0,3,17,9,2,5
SANTA CECILIA DO SUL,0,10,0,1,0,2,0,3,1,0
SANTA CLARA DO SUL,0,27,1,3,0,0,12,2,1,1
SANTA CRUZ DO SUL,14,1670,283,264,1,19,313,48,62,113
SANTA MARGARIDA DO SUL,0,30,0,0,0,0,1,2,0,0
SANTA MARIA,39,3452,212,1099,4,30,867,173,354,222
SANTA MARIA DO HERVAL,0,19,1,1,0,0,1,0,4,1
SANTA ROSA,5,690,37,40,0,3,149,42,158,97
SANTA TEREZA,1,11,3,0,0,0,2,1,2,0
SANTA TEREzA,0,1,0,0,0,0,0,0,1,0
SANTA VITORIA DO PALMAR,1,469,25,46,1,1,50,19,19,15
SANTANA DA BOA VISTA,1,76,1,4,0,1,4,4,1,0
SANTANA DO LIVRAMENTO,6,946,60,90,3,2,149,40,120,27
SANTIAGO,1,473,11,49,1,0,104,30,99,105
SANTO ANGELO,4,1051,57,147,0,3,140,39,111,63
SANTO ANTONIO DA PATRULHA,2,375,32,61,1,7,70,18,19,20
SANTO ANTONIO DAS MISSOES,1,109,0,9,0,0,13,10,9,3
SANTO ANTONIO DO PALMA,0,14,1,1,0,0,5,0,0,0
SANTO ANTONIO DO PLANALTO,0,17,2,1,0,1,3,0,0,0
SANTO AUGUSTO,2,121,18,7,0,0,18,14,11,8
SANTO CRISTO,1,66,3,3,0,0,10,2,10,2
SANTO EXPEDITO DO SUL,1,13,1,0,0,0,2,1,1,0
SAO BORJA,5,686,28,106,1,2,85,25,77,125
SAO DOMINGOS DO SUL,0,13,2,0,0,0,5,1,0,0
SAO FRANCISCO DE ASSIS,1,150,2,10,0,1,15,11,11,11
SAO FRANCISCO DE PAULA,2,288,3,25,0,7,47,15,23,13
SAO GABRIEL,7,621,17,58,0,2,79,40,40,73
SAO JERONIMO,3,298,10,29,0,2,27,20,41,34
SAO JOAO DA URTIGA,0,5,2,0,0,1,2,1,0,0
SAO JOAO DO POLESINE,1,27,0,2,0,0,1,0,0,0
SAO JORGE,0,9,1,0,0,0,3,0,1,0
SAO JOSE DAS MISSOES,0,5,0,0,0,0,0,0,0,0
SAO JOSE DO HERVAL,1,22,0,2,0,0,1,4,1,1
SAO JOSE DO HORTENCIO,0,23,3,3,0,0,5,1,5,0
SAO JOSE DO INHACORA,0,6,1,1,0,0,3,0,0,0
SAO JOSE DO NORTE,7,288,13,37,1,2,13,10,26,15
SAO JOSE DO OURO,0,52,1,5,0,1,11,0,1,0
SAO JOSE DO SUL,0,10,0,0,0,2,2,1,0,1
SAO JOSE DOS AUSENTES,2,15,1,0,0,0,1,1,1,1
SAO LEOPOLDO,59,2723,405,1504,2,389,568,137,255,328
SAO LOURENCO DO SUL,0,311,8,28,0,1,80,14,55,21
SAO LUIZ GONZAGA,4,533,15,45,0,4,50,26,78,44
SAO MARCOS,3,171,8,26,0,6,36,13,22,13
SAO MARTINHO,0,26,1,2,0,0,4,0,2,2
SAO MARTINHO DA SERRA,0,54,0,1,0,0,3,0,0,0
SAO MIGUEL DAS MISSOES,0,54,1,4,0,0,9,5,1,0
SAO NICOLAU,2,80,1,5,0,0,3,10,1,1
SAO PAULO DAS MISSOES,0,21,1,1,0,1,2,3,1,0
SAO PEDRO DA SERRA,0,13,0,0,0,0,2,0,5,0
SAO PEDRO DAS MISSOES,0,10,2,0,0,0,3,0,0,0
SAO PEDRO DO BUTIA,0,16,1,3,0,0,2,0,0,0
SAO PEDRO DO SUL,2,232,5,13,0,0,22,9,4,3
SAO SEBASTIAO DO CAI,1,262,24,26,0,9,57,10,111,35
SAO SEPE,2,286,6,22,0,4,28,24,16,17
SAO VALENTIM,0,11,1,0,0,0,2,1,1,2
SAO VALENTIM DO SUL,1,12,0,0,0,0,2,1,4,0
SAO VALERIO DO SUL,0,7,2,0,0,0,0,1,0,0
SAO VENDELINO,0,13,0,3,0,4,8,0,3,0
SAO VICENTE DO SUL,0,92,2,0,0,1,3,6,9,5
SAPIRANGA,10,679,129,214,1,55,115,28,112,51
SAPUCAIA DO SUL,32,1454,267,1045,0,180,270,65,204,139
SARANDI,1,156,8,26,2,5,27,16,13,29
SEBERI,3,103,7,6,0,0,15,11,4,6
SEDE NOVA,0,8,1,0,0,0,2,0,1,0
SEGREDO,0,33,3,3,1,0,2,3,0,0
SELBACH,0,36,2,2,0,0,2,0,5,0
SENADOR SALGADO FILHO,0,16,0,0,0,1,1,1,0,0
SENTINELA DO SUL,2,55,4,6,0,1,2,3,0,1
SERAFINA CORREA,0,108,7,7,0,1,31,3,19,5
SERIO,0,16,0,0,0,0,0,1,0,0
SERTAO,0,43,2,5,0,0,8,3,0,2
SERTAO SANTANA,0,59,2,5,0,2,12,1,1,0
SETE DE SETEMBRO,0,12,0,2,0,0,1,0,0,2
SEVERIANO DE ALMEIDA,0,19,1,0,0,0,0,2,2,0
SILVEIRA MARTINS,0,18,1,1,0,0,3,1,1,2
SINIMBU,1,49,3,5,0,0,6,5,0,0
SOBRADINHO,3,271,5,14,0,0,31,10,21,13
SOLEDADE,4,458,19,43,0,3,64,18,59,48
TABAI,0,31,3,7,0,0,3,1,3,2
