Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
SAO JOAO DO POLESINE,0,25,0,1,0,0,6,1,0,0
SAO JORGE,0,9,1,2,0,0,2,0,1,0
SAO JOSE DAS MISSOES,0,8,2,0,0,0,1,0,0,0
SAO JOSE DO HERVAL,1,25,0,1,0,0,3,2,0,1
SAO JOSE DO HORTENCIO,0,13,1,1,0,0,6,0,3,0
SAO JOSE DO INHACORA,0,3,0,0,0,0,1,2,0,1
SAO JOSE DO NORTE,3,304,5,35,0,0,16,10,41,21
SAO JOSE DO OURO,0,24,1,2,0,0,9,4,0,0
SAO JOSE DO SUL,0,12,0,1,0,2,2,0,2,0
SAO JOSE DOS AUSENTES,0,17,0,0,0,1,5,4,2,1
SAO LEOPOLDO,48,2766,411,1626,0,433,693,116,258,299
SAO LOURENCO DO SUL,0,255,6,17,0,0,45,15,70,22
SAO LUIZ GONZAGA,6,688,18,47,0,0,42,38,56,43
SAO MARCOS,3,138,13,26,0,4,43,9,25,12
SAO MARTINHO,0,25,0,2,0,0,10,1,3,1
SAO MARTINHO DA SERRA,0,50,0,0,0,0,8,2,0,0
SAO MIGUEL DAS MISSOES,0,61,0,2,0,0,6,3,0,0
SAO NICOLAU,1,102,2,2,0,0,2,10,1,0
SAO PAULO DAS MISSOES,0,17,0,0,0,0,10,0,2,0
SAO PEDRO DA SERRA,0,10,0,10,0,0,5,2,5,1
SAO PEDRO DAS MISSOES,0,8,1,2,0,0,2,3,0,0
SAO PEDRO DO BUTIA,0,6,1,0,0,0,2,0,0,0
SAO PEDRO DO SUL,1,224,6,17,0,0,19,14,9,9
SAO SEBASTIAO DO CAI,4,303,29,41,0,11,65,8,119,22
SAO SEPE,5,307,10,53,0,1,25,16,7,16
SAO VALENTIM,0,12,0,2,0,0,3,1,1,0
SAO VALENTIM DO SUL,0,14,1,1,0,1,1,0,0,0
SAO VALERIO DO SUL,0,10,1,0,1,0,0,3,0,0
SAO VENDELINO,0,21,1,2,0,3,2,0,0,0
SAO VICENTE DO SUL,0,80,3,6,0,0,4,6,5,2
SAPIRANGA,10,654,122,249,0,43,154,31,94,69
SAPUCAIA DO SUL,29,1384,239,1148,1,178,295,57,179,135
SARANDI,2,164,9,23,0,3,31,11,11,14
SEBERI,1,99,11,3,0,0,20,8,12,4
SEDE NOVA,0,16,1,0,0,0,4,2,0,0
SEGREDO,0,44,3,2,0,0,6,2,1,2
SELBACH,0,24,3,2,0,1,10,1,4,2
SENADOR SALGADO FILHO,0,15,1,0,0,0,6,1,0,0
SENTINELA DO SUL,0,69,4,8,0,2,7,6,0,0
SERAFINA CORREA,2,111,5,8,0,0,28,2,22,5
SERIO,0,9,1,2,0,0,1,1,1,0
SERTAO,1,57,2,1,0,0,10,3,0,0
SERTAO SANTANA,0,48,2,9,0,0,10,1,1,0
SETE DE SETEMBRO,0,22,0,1,0,0,0,0,0,0
SEVERIANO DE ALMEIDA,0,27,1,0,0,0,14,2,1,0
SILVEIRA MARTINS,0,22,0,2,0,0,3,0,0,0
SINIMBU,0,39,0,3,0,1,6,2,0,0
SOBRADINHO,1,284,5,29,0,1,30,11,22,15
SOLEDADE,4,517,16,35,1,1,48,30,46,27
TABAI,1,40,1,10,0,0,1,0,0,0
TAPEJARA,3,206,27,21,0,10,61,6,16,8
