Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
PONTE PRETA,0,14,0,0,0,0,0,2,0,0
PORTAO,8,262,44,74,3,33,82,13,27,27
PORTO ALEGRE,430,24484,2518,18245,19,4812,6350,639,957,1612
PORTO LUCENA,2,37,1,0,0,0,4,7,1,0
PORTO MAUA,0,35,0,0,0,0,2,2,0,2
PORTO VERA CRUZ,0,17,0,1,0,0,0,0,0,0
PORTO XAVIER,1,79,3,7,0,0,5,22,12,10
POUSO NOVO,1,17,0,2,0,1,4,1,0,1
PRESIDENTE LUCENA,0,12,0,0,0,0,7,0,1,0
PROGRESSO,2,36,1,1,0,0,7,6,3,2
PROTASIO ALVES,0,7,1,2,0,0,2,0,1,0
PUTINGA,1,24,1,4,0,1,2,1,1,0
QUARAI,6,262,13,18,0,0,18,15,9,11
QUATRO IRMAOS,0,15,1,1,0,0,1,2,0,0
QUEVEDOS,0,24,0,0,0,0,1,3,0,0
QUINZE DE NOVEMBRO,0,27,3,0,0,0,2,0,0,0
REDENTORA,3,44,6,4,1,1,4,9,2,3
RELVADO,0,15,0,0,0,0,2,0,0,0
RESTINGA SECA,3,121,4,7,1,0,21,8,7,3
RIO DOS INDIOS,0,21,0,0,0,0,1,2,0,0
RIO GRANDE,36,2365,173,1307,6,49,443,136,169,255
RIO PARDO,7,332,11,46,0,2,47,18,26,36
RIOZINHO,1,22,2,3,0,0,3,2,6,0
ROCA SALES,2,100,9,4,0,0,7,7,7,4
RODEIO BONITO,1,37,2,2,0,0,8,4,7,3
ROLADOR,0,7,0,0,0,0,1,2,1,0
ROLANTE,5,135,8,31,0,7,38,10,29,6
RONDA ALTA,1,48,12,7,0,2,11,1,3,1
RONDINHA,0,29,1,0,0,0,1,1,0,0
ROQUE GONZALES,0,37,2,2,0,0,3,6,2,3
ROSARIO DO SUL,7,419,17,36,0,0,59,24,43,32
SAGRADA FAMILIA,2,7,1,2,0,0,2,4,1,1
SALDANHA MARINHO,0,12,0,1,0,0,5,1,1,1
SALTO DO JACUI,3,125,5,3,0,0,26,12,8,1
SALVADOR DAS MISSOES,0,15,0,2,0,0,5,0,0,0
SALVADOR DO SUL,1,27,3,4,0,0,12,0,5,3
SANANDUVA,1,101,4,7,0,2,31,4,2,5
SANTA BARBARA DO SUL,2,75,2,6,0,1,10,4,3,6
SANTA CECILIA DO SUL,1,11,1,0,0,0,0,1,2,0
SANTA CLARA DO SUL,0,19,2,5,0,0,5,1,4,0
SANTA CRUZ DO SUL,18,1483,249,239,2,20,335,63,81,119
SANTA MARGARIDA DO SUL,0,36,1,0,0,0,5,0,0,0
SANTA MARIA,45,3310,176,899,5,27,858,158,288,207
SANTA MARIA DO HERVAL,0,30,1,4,0,1,6,1,4,0
