Municipio,Homicidio Doloso,Furtos,Furto de Veiculo,Roubos,Latrocinio,Roubo de Veiculo,Estelionato,Delitos Relacionados a Armas e Municoes,Entorpecentes - Posse,Entorpecentes - Trafico
GRAMADO XAVIER,0,23,2,0,0,0,2,1,0,0
GRAVATAI,58,2369,432,1779,3,405,730,139,287,260
GUABIJU,0,3,1,0,0,1,0,1,0,0
GUAIBA,24,797,54,493,0,24,179,69,280,92
GUAPORE,3,213,15,19,1,0,79,10,50,16
GUARANI DAS MISSOES,1,95,3,10,0,0,8,7,3,0
HARMONIA,0,10,1,1,0,0,4,1,5,1
HERVAL,0,95,0,3,0,0,8,13,1,2
HERVEIRAS,0,14,0,2,0,0,0,4,0,0
HORIZONTINA,0,161,14,6,0,0,22,8,40,21
HULHA NEGRA,0,41,1,0,0,0,4,3,0,0
HUMAITA,1,21,1,5,0,0,5,0,1,3
IBARAMA,1,34,6,0,0,0,5,1,0,1
IBIACA,0,41,1,2,0,1,5,1,0,0
IBIRAIARAS,1,52,8,3,0,0,19,2,1,3
IBIRAPUITA,0,20,1,4,0,0,4,8,2,1
IBIRUBA,0,156,13,15,0,0,45,10,12,13
IGREJINHA,0,266,25,57,1,7,69,14,40,26
IJUI,5,887,56,99,0,2,198,44,116,62
ILOPOLIS,0,35,0,3,0,0,7,1,1,1
IMBE,3,622,27,72,1,10,54,6,19,18
IMIGRANTE,0,9,0,0,0,0,3,0,0,0
INDEPENDENCIA,0,65,2,1,0,0,2,3,3,2
INHACORA,0,12,1,1,0,0,2,2,1,0
IPE,0,53,2,1,0,0,15,4,6,6
IPIRANGA DO SUL,0,15,1,1,0,0,1,2,0,0
IRAI,1,69,5,9,0,1,12,4,12,13
ITAARA,0,71,1,4,0,0,7,4,2,2
ITACURUBI,0,33,0,0,0,0,0,8,2,0
ITAPUCA,1,19,0,0,0,0,0,6,0,0
ITAQUI,1,404,16,75,0,2,31,29,40,58
ITATI,1,17,0,6,0,1,3,2,1,0
ITATIBA DO SUL,0,16,0,1,0,0,4,2,0,0
IVORA,0,9,1,0,0,0,1,2,0,0
IVOTI,1,125,23,16,0,3,58,4,33,2
JABOTICABA,2,22,3,2,0,0,2,1,1,0
JACUIZINHO,0,13,0,0,0,0,1,3,0,0
JACUTINGA,0,15,0,1,0,0,0,1,1,0
JAGUARAO,3,341,19,32,1,1,36,14,14,12
JAGUARI,0,63,0,8,0,1,14,3,2,3
JAQUIRANA,1,43,0,5,0,1,2,4,1,3
JARI,0,27,1,0,0,0,2,1,0,0
JOIA,0,44,1,1,0,0,6,9,0,0
JULIO DE CASTILHOS,0,251,11,22,0,4,53,11,26,13
LAGOA BONITA DO SUL,0,16,0,3,0,0,1,0,1,0
LAGOA DOS TRES CANTOS,0,10,0,1,0,0,2,1,0,0
LAGOA VERMELHA,2,411,11,40,1,8,112,28,48,36
LAGOAO,0,20,1,1,0,0,2,4,0,1
LAJEADO,11,1022,156,235,0,39,269,49,147,85
LAJEADO DO BUGRE,0,11,3,0,1,0,1,2,0,0
LAVRAS DO SUL,0,57,0,1,0,0,7,1,2,1
LIBERATO SALZANO,1,26,3,0,0,0,4,4,0,0
LINDOLFO COLLOR,0,21,0,6,0,1,3,1,5,0
LINHA NOVA,0,4,1,0,0,0,1,0,0,0
MACAMBARA,0,35,0,1,0,0,2,3,2,1
MACHADINHO,0,56,4,1,0,0,3,5,0,2
MAMPITUBA,0,17,1,1,0,1,1,1,0,0
MANOEL VIANA,0,43,0,2,0,0,4,6,4,2
MAQUINE,1,79,6,6,0,2,2,4,2,0
MARATA,0,7,0,2,0,0,1,0,0,0
MARAU,4,405,51,66,0,11,86,26,23,10
MARCELINO RAMOS,0,30,2,0,0,0,2,0,0,0
MARIANA PIMENTEL,0,49,0,3,0,2,6,2,0,0
MARIANO MORO,0,9,1,0,0,0,1,0,1,0
MARQUES DE SOUZA,0,20,1,0,0,0,6,2,1,3
MATA,0,52,2,1,0,0,9,7,0,1
MATO CASTELHANO,1,49,1,5,0,4,4,7,2,1
MATO LEITAO,0,13,1,3,0,2,5,1,1,0
MATO QUEIMADO,0,4,1,0,0,0,3,0,0,0
MAXIMILIANO DE ALMEIDA,0,27,1,0,0,0,9,3,0,0
MINAS DO LEAO,0,103,0,4,0,0,6,2,3,7
MIRAGUAI,0,28,12,4,0,0,5,5,0,1
MONTAURI,0,5,0,0,0,0,0,0,0,0
MONTE ALEGRE DOS CAMPOS,1,19,0,0,0,0,1,6,0,0
MONTE BELO DO SUL,0,7,2,2,0,3,5,1,0,0
MONTENEGRO,5,725,53,126,0,14,126,19,284,78
MORMACO,0,20,1,0,0,0,2,0,1,1
MORRINHOS DO SUL,0,3,1,1,0,0,3,0,0,0
MORRO REDONDO,2,46,4,1,0,0,4,3,1,1
MORRO REUTER,0,21,1,1,0,0,8,1,2,0
MOSTARDAS,2,193,6,7,0,0,26,12,7,1
MUCUM,0,55,3,5,0,1,5,2,10,2
MUITOS CAPOES,2,48,2,3,0,0,0,3,1,0
